Seller_ID,Seller_CO,Buyer_ID,Buyer_CO,Tran_PR
38502761,LunarTransport,68362850,Lunestone,33813.87
35673565,Solgona,35673565,Solgona,63884.12
68365833,Moonbrite,17452966,Moon&Co,116233.6
38502761,LunarTransport,17452966,Moon&Co,76086.27
68365833,Moonbrite,17452966,Moon&Co,31013.92
78162537,Far Away Limited,96877928,Spero,8157.339
38502761,LunarTransport,68362850,Lunestone,103300.8
78162537,Far Away Limited,96877928,Spero,5673.133
68365833,Moonbrite,67456889,Luneca,70732.8
38502761,LunarTransport,68362850,Lunestone,56198.9
38502761,LunarTransport,38502761,LunarTransport,125847.6
25419991,CoMoonIcations,17452966,Moon&Co,54470.02
98578956,CoMoonIcations,57326522,LisaLuna,79781.53
67456889,Luneca,68362850,Lunestone,44141.59
17452966,Moon&Co,38502761,LunarTransport,24363.16
32017455,Sirota,68365833,Moonbrite,79360.49
68365833,Moonbrite,25419991,CoMoonIcations,43484.78
32017455,Sirota,35673565,Solgona,74667.19
17452966,Moon&Co,78162537,Far Away Limited,83400.26
35673565,Solgona,35673565,Solgona,57090.79
32017455,Sirota,78162537,Far Away Limited,12098.63
68362850,Lunestone,17452966,Moon&Co,56484.94
98578956,CoMoonIcations,96877928,Spero,52469.91
98578956,CoMoonIcations,68365833,Moonbrite,101520.4
57326522,LisaLuna,78162537,Far Away Limited,45776.98
98578956,CoMoonIcations,25419991,CoMoonIcations,11005.22
35673565,Solgona,96877928,Spero,6934.526
57326522,LisaLuna,17452966,Moon&Co,25060.08
78162537,Far Away Limited,96877928,Spero,26994.33
68362850,Lunestone,17452966,Moon&Co,59534.25
96877928,Spero,78162537,Far Away Limited,69915.02
38502761,LunarTransport,32017455,Sirota,18437.42
68362850,Lunestone,57326522,LisaLuna,31769.33
17452966,Moon&Co,68365833,Moonbrite,65422.8
35673565,Solgona,35673565,Solgona,27503.68
68362850,Lunestone,25419991,CoMoonIcations,66587.97
78162537,Far Away Limited,38502761,LunarTransport,95483.18
96877928,Spero,67456889,Luneca,10682.26
68365833,Moonbrite,25419991,CoMoonIcations,38222.36
25419991,CoMoonIcations,57326522,LisaLuna,75744.62
67456889,Luneca,57326522,LisaLuna,32301.56
35673565,Solgona,67456889,Luneca,45019.8
67456889,Luneca,98578956,Luneca,64366.59
68362850,Lunestone,96877928,Spero,22271.01
78162537,Far Away Limited,25419991,CoMoonIcations,116005.6
78162537,Far Away Limited,98578956,Luneca,81916.63
98578956,CoMoonIcations,96877928,Spero,30001.08
96877928,Spero,68362850,Lunestone,74302.33
68362850,Lunestone,68365833,Moonbrite,18423.02
96877928,Spero,38502761,LunarTransport,26992.7
96877928,Spero,57326522,LisaLuna,57447.96
25419991,CoMoonIcations,25419991,CoMoonIcations,31506.55
78162537,Far Away Limited,67456889,Luneca,54373.39
57326522,LisaLuna,96877928,Spero,9838.865
96877928,Spero,68365833,Moonbrite,30294.63
38502761,LunarTransport,68362850,Lunestone,82240.05
35673565,Solgona,35673565,Solgona,104039.2
38502761,LunarTransport,25419991,CoMoonIcations,31001.07
67456889,Luneca,98578956,Luneca,77140.07
38502761,LunarTransport,32017455,Sirota,122659
35673565,Solgona,17452966,Moon&Co,74305.8
57326522,LisaLuna,38502761,LunarTransport,21007.23
17452966,Moon&Co,98578956,Luneca,43473.57
68365833,Moonbrite,38502761,LunarTransport,27028.01
32017455,Sirota,57326522,LisaLuna,69341.71
57326522,LisaLuna,57326522,LisaLuna,5673.842
78162537,Far Away Limited,78162537,Far Away Limited,74293.02
67456889,Luneca,67456889,Luneca,93239.06
32017455,Sirota,35673565,Solgona,58802.89
35673565,Solgona,25419991,CoMoonIcations,55610.08
35673565,Solgona,68362850,Lunestone,113594.6
67456889,Luneca,98578956,Luneca,37698.07
32017455,Sirota,17452966,Moon&Co,5755.993
